model,beta,mig,elbo
lf,0.03125,0.3466516085012449,-74.39612589003164
lf,0.0625,0.33266748504940186,-64.7140958761867
lf,0.125,0.30979953086007084,-57.24551893789557
lf,0.25,0.2738256685786282,-47.94926819620253
lf,0.5,0.19900786292790984,-42.974269432357595
lf,1.0,0.14167151079551968,-41.37937907931171
lf,2.0,0.07812996840058349,-45.400640946400316
lf,4.0,0.007785744679272734,-51.85868275316456
lf,8.0,-0.0021971285243653892,-54.09319991099684
nlf,0.03125,0.30693788019687934,-111.421875
nlf,0.0625,0.2905274084730176,-85.63058124011076
nlf,0.125,0.2866778928438954,-67.61488825158227
nlf,0.25,0.27554241897944903,-55.45395940466772
nlf,0.5,0.2370779863772606,-44.83916386471519
nlf,1.0,0.11184128931104592,-47.58866322191456
nlf,2.0,0.058847761484985425,-49.783351463607595
nlf,4.0,0.006781589538740888,-54.54058915150316
nlf,8.0,-0.00010477038185181273,-55.69915694224684
bvae,0.03125,-0.01566997950738672,-62.25330053401899
bvae,0.0625,0.01652973948027405,-54.976043314873415
bvae,0.125,-0.011011747028585546,-50.407464522349684
bvae,0.25,-0.0044645325599624065,-43.070754425435126
bvae,0.5,0.020149081593269197,-39.34970826740506
bvae,1.0,-0.003125074839369469,-37.158611056170884
bvae,2.0,0.013747417988634748,-41.507676522943036
bvae,4.0,0.004366519983712122,-48.04333341574367
bvae,8.0,-0.004061831100707005,-53.714516168908226
