model,beta,mig,elbo
ps,0.03125,0.3250954453351124,-72.28610808939874
ps,0.0625,0.30570828303077074,-62.74001804786393
ps,0.125,0.30614954553787127,-55.018060225474684
ps,0.25,0.25267777590172635,-46.35364542128165
ps,0.5,0.17414837870109856,-40.92528060719937
ps,1.0,0.11492489017218797,-39.56819249406646
ps,2.0,0.06009223923477915,-42.39068062697785
ps,4.0,0.0012345391400887416,-47.781154197982595
ps,8.0,0.0029314113290763804,-51.388640971123415
neg,0.03125,0.2807111456330454,-108.7598397943038
neg,0.0625,0.294475698555668,-67.35744041732595
neg,0.125,0.27722130781514404,-63.13861006724684
neg,0.25,0.2554760877381494,-46.78652838212025
neg,0.5,0.17920436838834072,-44.63828248615506
neg,1.0,0.11144026241490447,-41.920737737341774
neg,2.0,0.030331507138802973,-47.55329991594146
neg,4.0,0.005500348082877796,-50.09319373022152
neg,8.0,0.0009366316438317006,-52.24242855023734
bvae,0.03125,-0.005011000728921058,-60.12388127966772
bvae,0.0625,-0.002925050700963568,-54.00246612935127
bvae,0.125,-0.01243319922693444,-46.77300484572785
bvae,0.25,-0.01716160883594592,-41.76048877571203
bvae,0.5,-0.009304391199323402,-37.091144803204116
bvae,1.0,0.016619692107000924,-35.27624975276899
bvae,2.0,0.007722733820767322,-38.707167227056964
bvae,4.0,-0.003396607778451487,-44.86913753461234
bvae,8.0,0.002611765943420504,-49.72512237935127
mlvae,0.03125,0.1934655781776926,-62.41929143591772
mlvae,0.0625,0.16980255896264201,-57.492323477056964
mlvae,0.125,0.17120156500808606,-50.03217093552215
mlvae,0.25,0.14425113004075013,-44.07889759691456
mlvae,0.5,0.10911716392911686,-40.03748022151899
mlvae,1.0,0.07150421318594709,-41.122231012658226
mlvae,2.0,0.04398975312970665,-51.04528345035601
mlvae,4.0,0.027355844327362096,-61.52254746835443
mlvae,8.0,0.020652645825622675,-69.01452482199367
gvae,0.03125,0.18286871721365175,-73.80473694620254
gvae,0.0625,0.20779219323509762,-67.70169106012658
gvae,0.125,0.18605230661395195,-61.72197636471519
gvae,0.25,0.20112188377153975,-54.02011224287975
gvae,0.5,0.19695419268268596,-48.396564725079116
gvae,1.0,0.1787440717518419,-43.325164408623415
gvae,2.0,0.1471697383292858,-42.31785564181171
gvae,4.0,0.09989201661971321,-43.9188711431962
gvae,8.0,0.07897798382285227,-46.653005092958864
sepvae,0.03125,0.3099747845814256,-67.00433890427215
sepvae,0.0625,0.314238893849,-57.050917227056964
sepvae,0.125,0.2705153913524739,-50.136338632318036
sepvae,0.25,0.20399551270541058,-43.86562376384494
sepvae,0.5,0.09306831841838245,-39.57147757614715
sepvae,1.0,-0.005589279555511838,-38.32008690170095
sepvae,2.0,-0.03153603412103947,-39.818572611748415
sepvae,4.0,-0.010595716089790898,-45.46963385087025
sepvae,8.0,-0.002669904602464433,-50.542023091376585
