model,beta,mig,elbo
ps,0.03125,0.43041829739422943,-71.88106952136076
ps,0.0625,0.38742737805137956,-60.90859251384494
ps,0.125,0.3272640012794018,-51.69071400316456
ps,0.25,0.25852167849970703,-44.534995549841774
ps,0.5,0.17996100670537804,-40.62277492088607
ps,1.0,0.10983492142309662,-38.69649920886076
ps,2.0,0.05578965723025434,-42.4411991940269
ps,4.0,0.010316783393756784,-47.115228194224684
ps,8.0,0.002086320750021172,-50.28163938884494
neg,0.03125,0.39078559512254946,-78.66133059731013
neg,0.0625,0.3862268388173028,-71.46384246439874
neg,0.125,0.3070311336040967,-58.88936412183544
neg,0.25,0.21497852858844893,-50.42383739616297
neg,0.5,0.13335875247116896,-44.99854751780063
neg,1.0,0.08217276737674095,-43.462624851661396
neg,2.0,0.04356091334209563,-46.669810621044306
neg,4.0,0.009819818744635021,-48.98351587223101
neg,8.0,0.0018422769078637454,-50.491476710838604
bvae,0.03125,-0.0047432648972177,-59.83400909810127
bvae,0.0625,-0.00190710766597106,-54.31423679786393
bvae,0.125,-0.01079263445241976,-46.92367669600475
bvae,0.25,-0.01307909767206451,-41.85339509988133
bvae,0.5,-0.0057640453972457074,-37.064484028876585
bvae,1.0,0.022067493251171202,-35.17761384988133
bvae,2.0,0.010697820939195302,-38.82748219936709
bvae,4.0,-0.01286615458007592,-44.98555552808544
bvae,8.0,0.0034692345628496045,-49.36219034315665
mlvae,0.03125,0.19420305078044744,-62.13743571993671
mlvae,0.0625,0.1693093815893884,-57.28443928006329
mlvae,0.125,0.17225013383446894,-49.71114764636076
mlvae,0.25,0.14460822565790193,-44.09367274030854
mlvae,0.5,0.11335129926587599,-40.15564428401899
mlvae,1.0,0.06970163337405176,-40.943609696400316
mlvae,2.0,0.043035992940689584,-50.545366890822784
mlvae,4.0,0.028921495654202014,-61.32477501977848
mlvae,8.0,0.019651008488726154,-69.72530780261076
gvae,0.03125,0.17887171098149016,-74.86627274525317
gvae,0.0625,0.20953187608292018,-67.40710294699367
gvae,0.125,0.18685486785965186,-61.65765921677215
gvae,0.25,0.20059159375576602,-53.886941257911396
gvae,0.5,0.19922870511742202,-48.863933321795884
gvae,1.0,0.18063924497046582,-43.391558297072784
gvae,2.0,0.14544519997713018,-42.44094269185127
gvae,4.0,0.10177757991372638,-43.90492731408228
gvae,8.0,0.07777761930369753,-46.78546837915348
sepvae,0.03125,0.4089676784786088,-67.34298976463607
sepvae,0.0625,0.38278147951515895,-57.59902838212025
sepvae,0.125,0.2928603418312456,-50.19356952136076
sepvae,0.25,0.1672781264992374,-43.4205801275712
sepvae,0.5,0.0656836819963807,-39.28796850276899
sepvae,1.0,-0.012609635854016147,-38.300249703322784
sepvae,2.0,-0.02359615274190584,-40.193328471123415
sepvae,4.0,-0.0020503891127461767,-45.7272578372231
sepvae,8.0,0.0007665183210014923,-49.908363825158226
