model,beta,mig,elbo
lf,0.03125,0.31636676171658656,-71.67068211036393
lf,0.0625,0.32792659268916197,-63.377398140822784
lf,0.125,0.2993246636992906,-54.50802264636076
lf,0.25,0.2571493322506803,-46.20535625988924
lf,0.5,0.1740929858111517,-39.76626780063291
lf,1.0,0.112690265364628,-39.64869091178797
lf,2.0,0.06322129342372015,-42.149859078322784
lf,4.0,0.004961957615085894,-47.44962977155854
lf,8.0,-0.00027666435699257193,-49.730308049841774
nlf,0.03125,0.2937660188279197,-104.28950751582279
nlf,0.0625,0.279568766396461,-76.16861155063292
nlf,0.125,0.26663936737232763,-64.26551992681962
nlf,0.25,0.2549548112126647,-52.00614369066456
nlf,0.5,0.17297676860673555,-44.90076456190665
nlf,1.0,0.10621694067422556,-44.737465387658226
nlf,2.0,0.045114155832312874,-46.87381329113924
nlf,4.0,0.0011723084024651087,-49.92441529865506
nlf,8.0,0.0011865386413234084,-53.103379647943036
bvae,0.03125,-0.00834844965976682,-60.18898956685127
bvae,0.0625,-0.020185230532815252,-53.634357693829116
bvae,0.125,-0.014898039634457004,-47.03354924841772
bvae,0.25,0.015026915051536551,-40.797088236748415
bvae,0.5,-0.01975773705126233,-36.323619214794306
bvae,1.0,-0.042025227316067296,-34.92473669897152
bvae,2.0,-0.02769998203757343,-38.97727946993671
bvae,4.0,0.0028804241856064494,-44.881418735166136
bvae,8.0,0.00013783206530533376,-50.487928945806964
