model,beta,mig,elbo
lf,0.03125,0.4442882604177507,-69.95267998417721
lf,0.0625,0.40559055639251496,-61.31577581091772
lf,0.125,0.32763530311198474,-51.30014153975475
lf,0.25,0.2504348517338767,-44.809731012658226
lf,0.5,0.17195616610879164,-40.23454188093354
lf,1.0,0.11273681792105514,-38.75553797468354
lf,2.0,0.06395715671720316,-42.47197636471519
lf,4.0,0.009260224976460289,-47.76206487341772
lf,8.0,0.0032280844572890807,-49.561081512064874
nlf,0.03125,0.41585346105452564,-81.4250642800633
nlf,0.0625,0.3860421754627428,-71.0574317642405
nlf,0.125,0.27985983147284077,-58.86243448378165
nlf,0.25,0.2300362150586832,-50.30072562302215
nlf,0.5,0.13933520190688042,-44.390736253955694
nlf,1.0,0.08647426261591981,-43.32862873318829
nlf,2.0,0.04739008741319605,-46.135105567642405
nlf,4.0,0.014266537291784603,-48.43228342563291
nlf,8.0,0.0026595891811484673,-51.14802647844146
bvae,0.03125,-0.006872240220269121,-59.91095357001582
bvae,0.0625,-0.02165449569852814,-53.69402689873418
bvae,0.125,-0.017227499305488243,-46.955034859572784
bvae,0.25,0.013139426458542963,-40.49499666238133
bvae,0.5,-0.004223795843154588,-36.244931764240505
bvae,1.0,-0.03897022681797056,-34.99534587618671
bvae,2.0,-0.02375511344512557,-39.027980369857595
bvae,4.0,0.012265066651537876,-45.04896719244462
bvae,8.0,-0.00010568068693042008,-50.451113157634495
