label,z0,z1
1.0,-0.36572057008743286,-1.0866625308990479
9.0,-1.1726315021514893,0.1615883708000183
1.0,-0.5054869651794434,0.14144784212112427
1.0,-0.5555264949798584,0.0381200909614563
1.0,-0.525272011756897,-0.04504093527793884
9.0,-0.8372310400009155,-0.705534040927887
9.0,-0.9652249813079834,-0.803003191947937
1.0,-0.35266515612602234,-1.08887779712677
1.0,1.2069796323776245,0.6480746269226074
9.0,-0.9825772047042847,-1.1805574893951416
1.0,-0.5586000084877014,-0.23455992341041565
9.0,-0.8342099785804749,-0.5635532140731812
9.0,-1.282307744026184,-0.10355010628700256
9.0,0.0990653932094574,0.7034062147140503
9.0,-1.5913629531860352,-0.08254367113113403
9.0,-1.1219713687896729,-0.6624281406402588
1.0,-0.31891366839408875,-0.9721800684928894
1.0,-0.35892021656036377,-0.4036486744880676
1.0,0.6929094195365906,0.7275521159172058
1.0,-0.5261203050613403,-0.20418351888656616
1.0,-0.3562059700489044,-0.81309974193573
1.0,-0.37384843826293945,-0.7392299175262451
9.0,0.6036083698272705,0.79828941822052
9.0,-1.2772287130355835,-0.7800166010856628
1.0,-0.5086957216262817,-0.7876932621002197
1.0,-0.5200848579406738,-0.083962082862854
1.0,-0.47817638516426086,0.1380710005760193
1.0,-0.28507253527641296,-0.6894888877868652
9.0,-0.8273334503173828,1.003250241279602
1.0,-0.5901029109954834,-0.2082902193069458
1.0,-0.22504150867462158,-0.816582441329956
9.0,-1.2085436582565308,0.4768717885017395
1.0,-0.5384750962257385,-0.39534035325050354
1.0,-0.4062878489494324,-0.16666507720947266
9.0,-0.9430938363075256,-0.17219361662864685
1.0,-0.27325552701950073,1.1120519638061523
1.0,-0.4174504578113556,-0.3557078242301941
9.0,-0.8736125230789185,-0.6498229503631592
9.0,-1.6935069561004639,0.4706239700317383
9.0,-0.9944121837615967,0.40184488892555237
9.0,-1.482321858406067,-0.7280354499816895
9.0,-1.0314416885375977,0.5082508325576782
9.0,-1.8269753456115723,0.19388684630393982
1.0,-0.5914089679718018,-0.295440673828125
9.0,-0.7962245941162109,0.46214619278907776
1.0,-0.405565470457077,-0.6713213920593262
9.0,-1.265071153640747,-0.3627699017524719
1.0,-0.5443357825279236,0.034604161977767944
9.0,-1.175115704536438,-0.8018766045570374
1.0,-0.4965492784976959,0.1699019968509674
1.0,-0.3125257194042206,-1.114186406135559
1.0,-0.22279846668243408,-0.9375983476638794
